NumberOfMonths,Artist,Album,SongName,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,LongestStreak,CurrentStreak
9,5,Lord Huron,Long Lost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I Lied (feat. Allison Ponthier),I Lied (feat. Allison Ponthier),I Lied (feat. Allison Ponthier),I Lied (feat. Allison Ponthier),I Lied (feat. Allison Ponthier),NA,I Lied (feat. Allison Ponthier),I Lied (feat. Allison Ponthier),NA,NA,NA,NA,I Lied (feat. Allison Ponthier),NA,NA,NA,NA,I Lied (feat. Allison Ponthier),NA,5,0
21,14,Janelle Monáe,Dirty Computer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I Like That,I Like That,I Like That,I Like That,I Like That,I Like That,I Like That,I Like That,I Like That,I Like That,I Like That,I Like That,I Like That,I Like That,NA,I Like That,NA,NA,I Like That,NA,NA,I Like That,NA,NA,I Like That,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I Like That,NA,NA,NA,NA,NA,NA,NA,NA,NA,I Like That,NA,NA,NA,NA,NA,I Like That,14,1
4,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I Like That [2],I Like That [2],I Like That [2],NA,NA,NA,I Like That [2],NA,NA,3,0
16,11,blink-182,Blink-182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I Miss You,I Miss You,I Miss You,I Miss You,I Miss You,I Miss You,I Miss You,I Miss You,I Miss You,I Miss You,I Miss You,NA,NA,NA,NA,NA,NA,I Miss You,I Miss You,I Miss You,NA,NA,NA,NA,NA,NA,NA,I Miss You,I Miss You,NA,NA,NA,NA,NA,11,0
23,7,Ed Sheeran,x,NA,NA,NA,NA,NA,NA,I'm a Mess,NA,I'm a Mess,NA,NA,I'm a Mess,I'm a Mess,I'm a Mess,I'm a Mess,I'm a Mess,I'm a Mess,I'm a Mess,NA,I'm a Mess,NA,NA,NA,I'm a Mess,I'm a Mess,NA,NA,NA,NA,I'm a Mess,NA,NA,NA,NA,NA,I'm a Mess,NA,NA,NA,NA,I'm a Mess,NA,NA,NA,NA,NA,NA,NA,I'm a Mess,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I'm a Mess,I'm a Mess,NA,NA,NA,NA,NA,NA,NA,NA,I'm a Mess,I'm a Mess,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I'm a Mess,NA,NA,NA,I'm a Mess,NA,NA,NA,I'm a Mess,7,1
21,5,The Beatles,Help!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I've Just Seen a Face,I've Just Seen a Face,I've Just Seen a Face,I've Just Seen a Face,I've Just Seen a Face,NA,NA,NA,I've Just Seen a Face,NA,NA,I've Just Seen a Face,I've Just Seen a Face,I've Just Seen a Face,I've Just Seen a Face,NA,NA,NA,NA,I've Just Seen a Face,I've Just Seen a Face,NA,NA,NA,NA,I've Just Seen a Face,NA,NA,NA,NA,NA,NA,NA,I've Just Seen a Face,I've Just Seen a Face,I've Just Seen a Face,NA,NA,NA,I've Just Seen a Face,NA,I've Just Seen a Face,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I've Just Seen a Face,NA,NA,I've Just Seen a Face,NA,I've Just Seen a Face,NA,NA,NA,NA,5,0
8,1,Beyoncé,Beyoncé,NA,NA,NA,NA,NA,NA,Jealous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jealous,NA,NA,NA,NA,NA,NA,NA,Jealous,NA,NA,NA,NA,NA,NA,Jealous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jealous,NA,Jealous,NA,Jealous,Jealous,NA,NA,NA,NA,NA,2,0
25,8,Sufjan Stevens,Carrie & Lowell,John My Beloved,John My Beloved,John My Beloved,John My Beloved,John My Beloved,John My Beloved,John My Beloved,John My Beloved,NA,John My Beloved,NA,John My Beloved,NA,NA,NA,NA,John My Beloved,NA,NA,NA,NA,NA,NA,NA,NA,John My Beloved,John My Beloved,John My Beloved,NA,NA,NA,NA,NA,NA,John My Beloved,NA,NA,NA,John My Beloved,NA,NA,John My Beloved,NA,NA,John My Beloved,NA,NA,NA,John My Beloved,NA,NA,NA,NA,John My Beloved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,John My Beloved,John My Beloved,NA,NA,NA,NA,John My Beloved,NA,NA,NA,NA,NA,NA,NA,NA,NA,John My Beloved,John My Beloved,8,2
13,10,Jeremy Zucker,summer - EP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,julia,julia,julia,julia,julia,julia,julia,julia,julia,julia,NA,julia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,julia,julia,NA,10,0
25,7,Nelly,5.0,NA,NA,NA,NA,NA,NA,NA,Just a Dream,Just a Dream,Just a Dream,Just a Dream,Just a Dream,Just a Dream,Just a Dream,NA,NA,Just a Dream,Just a Dream,Just a Dream,NA,NA,NA,NA,NA,Just a Dream,NA,NA,Just a Dream,Just a Dream,NA,NA,Just a Dream,NA,Just a Dream,Just a Dream,NA,Just a Dream,NA,NA,NA,NA,Just a Dream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Just a Dream,Just a Dream,Just a Dream,NA,NA,NA,NA,NA,NA,Just a Dream,NA,NA,Just a Dream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Just a Dream,Just a Dream,NA,NA,NA,NA,7,0
8,5,Selena Gomez,Revival,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kill Em With Kindness,Kill Em With Kindness,Kill Em With Kindness,Kill Em With Kindness,Kill Em With Kindness,NA,NA,Kill Em With Kindness,NA,NA,NA,Kill Em With Kindness,Kill Em With Kindness,NA,NA,NA,5,0
11,8,MyKey,Welcome to the Witching Hour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kneepads,Kneepads,Kneepads,Kneepads,Kneepads,Kneepads,Kneepads,Kneepads,Kneepads,Kneepads,NA,NA,NA,Kneepads,NA,NA,10,0
6,3,Stromae,Multitude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L’enfer,L’enfer,L’enfer,NA,L’enfer,NA,L’enfer,NA,NA,NA,L’enfer,NA,NA,3,0
11,3,Bryce Vine,Carnival,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,La La Land,La La Land,La La Land,NA,La La Land,La La Land,NA,NA,La La Land,NA,NA,La La Land,NA,NA,NA,NA,NA,NA,NA,La La Land,NA,NA,NA,NA,NA,La La Land,NA,NA,NA,La La Land,La La Land,NA,NA,NA,3,0
2,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Late Night Talking,Late Night Talking,2,2
9,2,Kevin Rudolf,In the City,NA,NA,NA,NA,NA,NA,NA,NA,Let It Rock (feat. Lil Wayne),NA,NA,NA,NA,Let It Rock (feat. Lil Wayne),NA,NA,NA,NA,Let It Rock (feat. Lil Wayne),NA,NA,NA,NA,NA,NA,NA,NA,Let It Rock (feat. Lil Wayne),Let It Rock (feat. Lil Wayne),NA,NA,Let It Rock (feat. Lil Wayne),Let It Rock (feat. Lil Wayne),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Let It Rock (feat. Lil Wayne),Let It Rock (feat. Lil Wayne),NA,NA,NA,NA,2,0
34,5,Audioslave,Audioslave,Like a Stone,Like a Stone,Like a Stone,Like a Stone,Like a Stone,NA,NA,NA,Like a Stone,Like a Stone,Like a Stone,Like a Stone,NA,NA,Like a Stone,NA,NA,NA,NA,NA,NA,NA,NA,Like a Stone,Like a Stone,Like a Stone,Like a Stone,Like a Stone,NA,NA,NA,Like a Stone,NA,Like a Stone,Like a Stone,NA,NA,NA,NA,NA,Like a Stone,NA,NA,Like a Stone,Like a Stone,NA,NA,NA,Like a Stone,NA,NA,NA,NA,NA,NA,NA,NA,Like a Stone,NA,NA,NA,NA,NA,Like a Stone,Like a Stone,NA,Like a Stone,Like a Stone,NA,NA,NA,NA,NA,NA,Like a Stone,NA,NA,NA,NA,Like a Stone,Like a Stone,Like a Stone,NA,Like a Stone,Like a Stone,NA,NA,NA,NA,NA,Like a Stone,5,1
4,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Line of Sight (feat. Mansionair & Wynne),Line of Sight (feat. Mansionair & Wynne),Line of Sight (feat. Mansionair & Wynne),Line of Sight (feat. Mansionair & Wynne),NA,NA,NA,NA,NA,4,0
4,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liquor Store Blues (feat. Damian Marley),Liquor Store Blues (feat. Damian Marley),Liquor Store Blues (feat. Damian Marley),NA,NA,NA,Liquor Store Blues (feat. Damian Marley),NA,NA,3,0
5,1,Bruno Mars,Unorthodox Jukebox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Locked Out of Heaven,NA,Locked Out of Heaven,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Locked Out of Heaven,Locked Out of Heaven,Locked Out of Heaven,NA,NA,NA,NA,NA,3,0
2,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lord of the Flies,NA,Lord of the Flies,NA,NA,NA,1,0
34,13,Frank Ocean,Channel ORANGE,NA,NA,NA,NA,NA,NA,NA,NA,Lost,Lost,Lost,Lost,Lost,Lost,Lost,Lost,Lost,Lost,Lost,Lost,Lost,NA,NA,Lost,Lost,Lost,NA,Lost,NA,Lost,Lost,NA,NA,NA,Lost,NA,NA,NA,NA,Lost,NA,NA,NA,Lost,NA,NA,NA,NA,Lost,NA,NA,NA,NA,NA,NA,NA,Lost,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lost,Lost,Lost,NA,NA,NA,NA,NA,Lost,Lost,Lost,NA,Lost,Lost,NA,NA,NA,NA,Lost,NA,NA,Lost,NA,NA,NA,13,0
12,6,Billie Eilish,Happier Than Ever,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lost Cause [2],Lost Cause [2],Lost Cause [2],Lost Cause [2],Lost Cause [2],Lost Cause [2],NA,NA,Lost Cause [2],Lost Cause [2],Lost Cause [2],NA,Lost Cause [2],NA,NA,NA,NA,NA,NA,Lost Cause [2],NA,NA,Lost Cause [2],NA,6,0
9,4,Conan Gray,Kid Krow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maniac,Maniac,Maniac,Maniac,NA,NA,Maniac,Maniac,NA,NA,Maniac,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maniac,Maniac,NA,NA,NA,4,0
22,16,Jack Garratt,"Love, Death & Dancing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mara,Mara,Mara,Mara,Mara,Mara,Mara,Mara,Mara,Mara,Mara,Mara,Mara,Mara,Mara,Mara,NA,Mara,Mara,NA,Mara,NA,NA,NA,NA,NA,NA,NA,Mara,NA,NA,NA,NA,NA,NA,NA,Mara,Mara,NA,16,0
25,5,Rixton,Let the Road,Me and My Broken Heart,Me and My Broken Heart,Me and My Broken Heart,Me and My Broken Heart,Me and My Broken Heart,NA,NA,Me and My Broken Heart,NA,NA,NA,NA,Me and My Broken Heart,NA,NA,Me and My Broken Heart,Me and My Broken Heart,Me and My Broken Heart,Me and My Broken Heart,Me and My Broken Heart,NA,NA,NA,Me and My Broken Heart,Me and My Broken Heart,Me and My Broken Heart,NA,NA,NA,NA,Me and My Broken Heart,Me and My Broken Heart,NA,NA,NA,NA,Me and My Broken Heart,NA,NA,NA,Me and My Broken Heart,NA,Me and My Broken Heart,NA,NA,Me and My Broken Heart,NA,NA,NA,NA,NA,Me and My Broken Heart,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Me and My Broken Heart,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Me and My Broken Heart,NA,Me and My Broken Heart,NA,NA,5,0
2,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Me Without You,Me Without You,2,2
10,7,Taylor Swift,Red,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Message In A Bottle,Message In A Bottle,Message In A Bottle,Message In A Bottle,Message In A Bottle,Message In A Bottle,Message In A Bottle,NA,NA,NA,Message In A Bottle,NA,NA,NA,Message In A Bottle,NA,NA,NA,Message In A Bottle,7,1
4,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Midnight Lover,Midnight Lover,Midnight Lover,NA,NA,NA,NA,Midnight Lover,NA,3,0
2,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Movie,Movie,2,2
11,3,Justin Timberlake,The 20/20 Experience - 2 of 2,Murder (feat. Jay-Z),Murder (feat. Jay-Z),Murder (feat. Jay-Z),NA,NA,NA,NA,NA,NA,NA,NA,Murder (feat. Jay-Z),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Murder (feat. Jay-Z),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Murder (feat. Jay-Z),Murder (feat. Jay-Z),Murder (feat. Jay-Z),NA,NA,NA,NA,NA,NA,Murder (feat. Jay-Z),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Murder (feat. Jay-Z),Murder (feat. Jay-Z),NA,NA,NA,NA,3,0
30,7,Kelly Clarkson,All I Ever Wanted,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,NA,NA,NA,My Life Would Suck Without You,NA,NA,My Life Would Suck Without You,NA,My Life Would Suck Without You,My Life Would Suck Without You,NA,My Life Would Suck Without You,NA,NA,NA,NA,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,NA,NA,NA,NA,NA,NA,NA,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,NA,NA,NA,NA,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My Life Would Suck Without You,NA,NA,My Life Would Suck Without You,NA,NA,NA,NA,NA,NA,My Life Would Suck Without You,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My Life Would Suck Without You,NA,NA,NA,NA,My Life Would Suck Without You,My Life Would Suck Without You,NA,NA,NA,7,0
15,5,Fall Out Boy,Save Rock and Roll,My Songs Know What You Did In the Dark (Light Em Up),My Songs Know What You Did In the Dark (Light Em Up),My Songs Know What You Did In the Dark (Light Em Up),My Songs Know What You Did In the Dark (Light Em Up),My Songs Know What You Did In the Dark (Light Em Up),NA,NA,NA,My Songs Know What You Did In the Dark (Light Em Up),NA,NA,NA,My Songs Know What You Did In the Dark (Light Em Up),My Songs Know What You Did In the Dark (Light Em Up),NA,NA,NA,My Songs Know What You Did In the Dark (Light Em Up),NA,NA,NA,NA,NA,NA,My Songs Know What You Did In the Dark (Light Em Up),NA,NA,NA,NA,NA,NA,NA,NA,My Songs Know What You Did In the Dark (Light Em Up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My Songs Know What You Did In the Dark (Light Em Up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My Songs Know What You Did In the Dark (Light Em Up),My Songs Know What You Did In the Dark (Light Em Up),My Songs Know What You Did In the Dark (Light Em Up),NA,NA,NA,NA,NA,5,0
17,14,Dennis Lloyd,Never Go Back - Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Never Go Back,Never Go Back,Never Go Back,Never Go Back,Never Go Back,Never Go Back,Never Go Back,Never Go Back,Never Go Back,Never Go Back,Never Go Back,Never Go Back,Never Go Back,Never Go Back,Never Go Back,NA,NA,Never Go Back,Never Go Back,NA,NA,NA,15,0
2,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Romantics,New Romantics,2,2
36,7,One Direction,FOUR,Night Changes,Night Changes,Night Changes,Night Changes,Night Changes,Night Changes,Night Changes,NA,Night Changes,Night Changes,Night Changes,Night Changes,Night Changes,Night Changes,NA,Night Changes,Night Changes,NA,Night Changes,Night Changes,NA,NA,NA,NA,Night Changes,Night Changes,Night Changes,NA,NA,NA,NA,NA,Night Changes,NA,Night Changes,NA,NA,NA,NA,Night Changes,NA,NA,NA,NA,NA,NA,NA,Night Changes,Night Changes,NA,Night Changes,NA,NA,NA,NA,Night Changes,NA,NA,NA,Night Changes,NA,NA,Night Changes,Night Changes,Night Changes,NA,Night Changes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Night Changes,Night Changes,NA,NA,NA,NA,NA,NA,NA,Night Changes,Night Changes,NA,NA,NA,7,0
